channel_id,category_name,duration,tags,description,on_trending_date,off_trending_date,on_rank,off_rank,on_views,off_views,on_likes,off_likes,on_dislikes,off_dislikes,on_comments,off_comments,on_channel_subscribers,off_channel_subscribers,on_channel_total_views,off_channel_total_views,on_channel_total_videos,off_channel_total_videos,new_tags,Month
CHWrh9h,Howto & Style,PT2M31S,"['간단레시피', '전부치기', 'egg pancake', '계란요리', '계란부침 만들기', '전 만들기', 'egg recipes', '부침개 만들기', '간단한 요리', '양배추전 만들기', '계란전', '반찬만들기', '간단요리', '술안주 요리', 'korean food recipes', 'egg dishes', '술안주', '계란부침', 'egg pancake recipe', '계란전 만들기', 'korean food', '계란부침개 만들기', '부침개 만드는 법', '계란부침 레시피', '양배추 부침개']",계란말이보다 만들기 쉽고 한끼 식사로도 든든한 영양만점 계란부침개 레시피.계량은 계량 스푼과 계량 컵 기준입니다.계량스푼 1큰술 = 15ml일반숟가락 1스푼 = 10~12ml계량스푼 1작은술 = 5ml계량컵 1컵 = 200ml종이컵 1컵 = 180~190ml-재료-계란 5개쪽파 4줄양파 1/4개부추 약간당근 약간양배추 70g청양고추 2개홍피망 1/4개맛살 2개소금 1/3작은술-Ingredients-five eggs1/4 onionsome leeksome chivessome carrot70g cabbagetwo hot peppers1/4 red bell pepper2 pieces of crab1/3 teaspoon salt#계란요리#계란부침개#간단요리Track: Blue — Declan DP [Audio Library Release]Music provided by Audio Library PlusWatch: https://youtu.be/Tu63TwPG0RAFree Download / Stream: https://alplus.io/Blue,2021-03-31,2021-04-02,20,49,283339,499672,2064,3134,38,66,81,113,308000,311000,62470094,63218075,375,376,korean,3
CHG9aFJ,News & Politics,PT1M55S,"['박수홍 친형', '매니지먼트', '입장', '소속사', '형', '출연료', '횡령', '박수홍', '계약금', '100억 원']","【 앵커멘트 】  오늘 느닷없이 방송인 박수홍이 친형에게 30년 동안 100억 상당의 출연료와 계약금을 떼였다는 의혹이 제기됐는데요,  박 씨는 횡령 의혹이 맞다며 형에게 대화를 촉구하고 나섰습니다.   이상주 기자의 보도입니다.【 기자 】  삼 형제 중 둘째 아들인 방송인 박수홍은, 1991년 대학개그제로 데뷔한 후 친형과 함께 일했습니다.  그러다 최근 소속사를 나왔고 그 배경에는 소속사 대표이자 친형 부부의 100억 원대 횡령이 있다는 주장이 제기됐습니다.  박수홍의 유튜브에 의혹을 제기한 이는 '박수홍이 데뷔 초부터 친형에게 매니지먼트 업무를 맡겼고, 출연료 등 자산 관리는 모두 형과 형수가 했다'고 설명했습니다.  그러면서 '박수홍이 버는 돈이 친형 부부의 생계였기에 돈줄이 끊기는 것에 대해 극도로 불안감을 느껴 박수홍의 결혼을 반대하기도 했다'고 폭로했습니다.▶ 인터뷰 : 박수홍 / 동치미(지난 27일 방송)- 태어나서 나는 나 혼자서 가족들을 지켜야 그 부담감이 있었어요.   결국, 박수홍은 소속사는 제 형과 형수의 명의로 운영됐다며 최근 충격을 받고 바로 잡으려고 대화를 시도했지만, 답변을 받지 못했고 더는 그들을 가족으로 볼 수 없을 것 같다는 입장을 나타냈습니다.  그러면서도 부모님은 최근까지 이런 분쟁을 모르고 있었다며 무분별한 의혹 제기에 대해선 선을 그었습니다.  MBN뉴스 이상주입니다.#박수홍 #100억원 #MBN 이상주 기자 #박수홍친형☞ MBN 유튜브 구독하기  ☞ https://goo.gl/6ZsJGT📢 MBN 유튜브 커뮤니티https://www.youtube.com/user/mbn/community?disable_polymer=1MBN 페이스북 http://www.facebook.com/mbntvMBN 인스타그램 https://www.instagram.com/mbn_news/",2021-03-31,2021-04-01,2,7,780976,868261,5782,6205,209,241,2762,2899,710000,712000,739470331,741370649,84305,84410,mbn,3
CHyCL5k,Comedy,PT12M36S,"['돼지', '음식뺏어먹기', '음식뺏어', '시장', '도망가기', '더블비', '청년몰', '시트콤', '웃긴영상', '음식']","#더블비#웃긴영상#장명준돼지하.. 박민규 때문에 식욕떨어진다 오늘 저녁은 치킨 두마리만 시켜먹어야지..광고,협찬 문의 mingyu3@naver.com 인스타그램    장명준 mang_jun_                                                                                 박민규  mingggiiikiiii이영상은 소상공인시장진흥공단 / 중소벤처기업부에 지원받아 제작  되었습니다!김천 평화시장 청년몰 입점에 관심있는 예비 청년 상인 분들은 이곳 링크를 통해 확인 가능합니다!! 대한민국 청년들 모두 화이팅 입니다!! !!https://bit.ly/3cZQdWc",2021-04-01,2021-04-02,41,50,547557,630398,7995,8538,266,322,1250,1300,1600000,1600000,880576850,881263469,436,436,웃긴영상,3
CHEUL40,Comedy,PT8M7S,"['피식대학', '욜로코믹스', '핫소스', 'prank', '시트콤', '면상들', '스타킹', '웃긴영상', '몰카', '폭소바겐', '꿀잼']",#면상들 #다리 #몰카,2021-04-01,2021-04-02,32,43,175084,266991,3662,4385,88,136,510,565,310000,310000,97006108,97184754,281,282,면상들,3
CH78PMQ,Entertainment,PT22M28S,"['넉살', '윤박', '엄정화', '초아', '성시경', '온앤오프']",#온앤오프화요일 밤 10시 30분 tvN,2021-04-01,2021-04-02,8,20,702544,1030681,7774,10258,129,172,573,722,3140000,3140000,4285058842,4289269868,56580,56608,김상욱,3
CHLVwgJ,Entertainment,PT8M11S,"['섹시', '칭다오', '조재원', 'sexy', '보물섬', '꿀잼', '낄낄상회', '꿔바로우', '목사님', '웃참', '더블비', '성욕', '방탈출', '스타킹', '임종혁', 'hotel', '선물', 'eng', 'eng sub', '개그맨', '양꼬치', '1주년', '몰카', '장윤석', '스님', '미녀', '웃긴영상', '배꼽빌라']",#낄낄상회 #성욕 #고자 성욕 쎈 여친과 무성욕자 남친의 연애 2탄 ! ㅋㅋㅋ 아직도 버릇 못고치고 답답한 .. 여친은 속터진는데 옆자리는 빵빵 터지네 ㅋㅋㅋㅋ 목사님 스님 조합 만큼 위험한 조합이다 ! ㅋㅋ 쟤 패러갈 길드원 모집 !!,2021-04-02,2021-04-03,21,40,549807,668633,8550,9592,195,283,620,669,1100000,1100000,249841050,250366602,167,168,eng,3
CHj3_t5,News & Politics,PT2M2S,"['친형', '디지털', '출연료', '화제', '연합뉴스', '뉴스', 'yonhapnews', '이슈', '영상', 'news', '박수홍']","박수홍 형의 출연료 횡령은 사실…대답 없으면 가족으로 못봐    (서울=연합뉴스) 개그맨 박수홍이 친형으로부터 30년간 출연료를 떼였다는 주장이 나왔습니다.     박수홍도 이를 인정하며 친형과 대화가 필요하다는 입장을 보였습니다.     박수홍은 29일 자신의 반려묘 인스타그램 계정에 전 소속사와의 문제 이전에 가족의 문제이기에 최대한 조용히 상황을 매듭지으려 했으나 부득이 이 같은 상황이 벌어지게 돼 글을 남기게 됐다고 입을 열었습니다.    그는 전 소속사와의 관계에서 금전적 피해를 본 건 사실이라면서 그리고 그 소속사는 형과 형수의 명의로 운영돼온 것 또한 사실이라고 밝혔는데요.    그는 그동안의 일에 대한 객관적 자료를 확보해 형과 형수에게 대화를 요청한 상태라며 마지막 요청이기에 이에도 응하지 않는다면, 더 이상 그들을 가족으로 볼 수 없을 것 같다고 말했습니다.    최근 박수홍의 유튜브 채널에 박수홍 친형과 형수가 100억이 넘는 금액을 횡령했다는 주장의 글이 올라오며 관심이 집중됐는데요.    영상으로 보시죠.      제작 : 박혜진·남이경    출처 : 다홍 Blackcat Dahong 유튜브,연합뉴스TV#연합뉴스#박수홍#친형#출연료◆ 연합뉴스 유튜브  : https://www.youtube.com/yonhap◆ 연합뉴스 홈페이지→ http://www.yna.co.kr/◆ 연합뉴스 페이스북→ https://www.facebook.com/yonhap/◆ 연합뉴스 인스타 : https://goo.gl/UbqiQb◆ 연합뉴스 비디오메타 채널https://www.youtube.com/channel/UCTMCrbtHU0M0SR6TuBrL4Pw",2021-03-31,2021-04-01,3,18,1180237,1290304,7202,7597,222,236,3266,3432,327000,327000,722662064,724417468,24700,24722,news,3
CH5YHB-,Education,PT9M39S,"['주방 인테리어', '풍수인테리어', '나무 조리기구', '쌀독', '풍수', '식탁 위치', '수세미 보관법', '재물운', '주방 풍수', '식기 보관법', '건강운']",* (네이버) 밴드: https://band.us/@dreamtree* ☎문의전화: 010 3580 2435* 온라인/ 오프라인 상담: 매주 화 목 토 (사전예약)✔유튜브 상담문의: 010 3580 2435- 가족의 건강운과 재물운을 관장하는 주방 풍수인테리어 #희망나무풍수 #주방풍수인테리어 #재물운,2021-04-02,2021-04-04,27,49,91916,162606,1877,3042,57,150,59,75,197000,198000,26341937,26496166,402,402,보관법,3
CHKkxVS,People & Blogs,PT5M52S,"['웃긴영상', '미녀몰카', '몰카', '배꼽빌라', '복권몰카', '몰래카메라']",#배꼽빌라#몰카#몰래카메라.띵동띵동~ㅋㅋㅋㅋ만들어논 복권이 남아서 예림이한테도저질러버렸습니다ㅋㅋㅋ재미있게 봐주세용ㅋ,2021-04-01,2021-04-03,36,50,250738,308727,3236,3586,115,181,316,344,905000,905000,247050089,247390122,309,310,몰래카메라,3
CH2qVOO,Sports,PT3M7S,"['보르도', '리그앙', '삼비아', '황의조', '마비디디', '몽펠리에', 'psg']",다음 영상을 위해 구독해주세요 !Please subscribe for the next video동현 인스타https://www.instagram.com/kldh_dh/나현 인스타 https://www.instagram.com/nahyeonzzi/#황의조 #삼비아 #마비디디,2021-03-29,2021-04-01,13,47,1101249,1604786,3503,4516,285,430,474,611,138000,139000,173481297,176316928,337,338,보르도,3
CHrhH1d,Entertainment,PT5M31S,"['브레이브엔터테인먼트', 'brave girls', '은지', 'we ride', '음방1위', 'bravesound', 'braveentertainment', '유정', '브레이브걸스', '1위', '용감한형제', 'bravebrother', '민영', 'rollin', '운전만해', '유나', '롤린']",[ official Site ]Brave        http://bravesound.comTwitter       http://twitter.com/bravesound_facebook   http://www.facebook.com/BraveEntertainmentInstagram  http://instagram.com/braveent_officialTVcast       http://tvcast.naver.com/bravesound#Bravegirls #Rollin #BG_CLIP#브레이브걸스 #롤린 #피어레스 #FEARLESS,2021-04-02,2021-04-02,24,24,142141,142141,10235,10235,37,37,1376,1376,273000,273000,72244913,72244913,425,425,brave,3
CHkh6Tl,People & Blogs,PT21M9S,"['한국일상', '뷰티유튜버일상', '부부', 'korean', '유트루', '신혼일기', 'mukbang', '출산브이로그', '자연분만', '요리', 'collab', '입원', '자연분만 회복', '신혼', '출산장면', '조리원', '산부인과', '출산', '가족', '유투버', 'vlog', '커플', '먹방', '출산 회복', '병원']","안녕하세요 여러분?영상에서도 나오지만 3월 출산이 갑자기 몰리는 바람에 1인실을 원했지만 방이 없어서 4인실에 있어야 했고, 2박3일 입원 후 조리원에 올라가야 하지만 병실에서 더 대기 한 후 5일만에 조리원에 올라가게 되었습니다.딱히 불만이 있었던건 정말 아니구요, 애기 탄생이 많다는 건 어쨌든 좋은 일이다보니 다들 이해하면서 지내는 듯 했습니다. 저도 그랬구요!이해는 하지만 몸이 어려운 건 어쩔 수 없는 그런 거랄까요? 2박 3일 보내고 나니, 또 영상으로 편집하고보니 고작 2박3일인데 뭐 저렇게 힘들었나 싶기도 한데 막상 저 땐 마음이 약간은 서럽더라구요.안그래도 호르몬의 노예라고들 하던데..... 흣이것도 추억이죠 뭐!4인실이라 말도 별로 못 하고 거의 뭐 ASMR같은 입원기지만 올려봅니다!다음 영상은 조리원 영상으로 올게요!오늘도 함께 해주신 여러분 감사드리며...!! 다음 영상에서 뵙겠습니다 :)평소 사용/착용 제품 정보 올라가는 Instagram ID 👉🏻yootrue_infoInstagram ID 👉🏻yootrue5502유트루 헤어밴드👉🏻http://bit.ly/32HSmzN뽀끼함 (화장품 정리함)👉🏻http://bit.ly/2UjlhK7사용하는 카메라 거치대뽀끼스탠드 👉🏻 http://www.bbokki.co.kr 양면 마블 도마 (제작 상품)👉🏻https://bit.ly/3oM4fik채널 No.1 뷰티채널👉🏻 https://www.youtube.com/user/yootruebeutyroom/채널 No.2 생방송 채널👉🏻 https://www.youtube.com/c/yootrueonair",2021-03-30,2021-04-02,2,45,684941,885985,15058,16991,221,305,1360,1558,237000,241000,98090995,99101105,895,895,collab,3
CH6q6s6,Film & Animation,PT2M56S,"['코로나', 'videotoons', '물', '사연툰', '좀비', '알레르기', 'korean animation', 'cartoon', '썰툰', '고민툰', '사이다툰', '영상툰', 'animate', 'video toon', '물알레르기', 'animations', 'comics', 'animation']","[꼬냥툰🐈] 저는 물을 마시면 죽는 병이 있어요! 👇 꼬냥툰 구독하기 클릭! 👇https://bit.ly/3bMUAo5--------------------------------------------------------------------사이다, 고민,사연 등 이야기를 보내주세요~추첨후 영상으로 제작해드려요~ ㅇㅅㅇv👇 꼬냥툰 이야기 보내기 클릭! 👇https://forms.gle/rzWEXs3amJfupKXk7--------------------------------------------------------------------#고민툰 #사연툰 #썰툰 #영상툰",2021-03-31,2021-04-03,8,49,250294,337733,3829,4587,170,271,917,1100,80400,82200,40097403,41059059,244,247,animation,3
CHOp66V,Pets & Animals,PT2M29S,"['cat', 'haha ha', '하하하', '하하 하', '무', 'hahaha', '고양이', 'mu']",,2021-04-01,2021-04-03,23,47,502045,653242,26006,28256,81,111,3297,3459,1070000,1070000,326542386,327122162,365,365,ha,3
CHEf_Bc,Music,PT4M27S,Null,BAEKHYUN's 3rd Mini Album Bambi is out!Listen and download on your favorite platform: https://smarturl.it/BAEKHYUN_BAMBI[Tracklist]01 Love Scene02 Bambi03 All I Got04 놀이공원 (Amusement Park)05 Privacy06 Cry For LoveBAEKHYUN Officialhttp://www.youtube.com/baekhyunhttp://www.youtube.com/weareoneEXOhttp://www.facebook.com/weareoneEXOhttp://www.instagram.com/weareone.exohttps://www.vlive.tv/channel/F94BDhttp://twitter.com/weareoneEXO#BAEKHYUN #백현 #BambiBAEKHYUN 백현 'Bambi' MV ℗ SM Entertainment,2021-04-01,2021-04-03,4,34,9205421,18276171,941348,1102114,4592,6913,247725,322953,26800000,26800000,20193222103,20223719104,3670,3671,mv,3
